issue_key,associated_story_key,associated_epic_key,associated_epic_name,epic_link_path,linked_story_count
NXT-39571,NXT-37895,NXT-37500,IM - Consolidation Enhancement & Cleanup,via_linked_story,1
NXT-39564,,,,none,0
NXT-39561,,,,none,0
NXT-39551,,,,none,0
NXT-39550,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-39540,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-39535,,,,none,0
NXT-39534,,,,none,0
NXT-39532,,NXT-39591,IM - Recipe/Menu Item Management Expansion,direct_parent,0
NXT-39445,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-39375,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-39277,,,,none,0
PCS-3477,,,,none,0
NXT-39275,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-39157,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-39154,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-39111,,,,none,0
NXT-39110,,,,none,0
NXT-39109,,,,none,0
NXT-39096,NXT-37882,NXT-36067,IM - Item Units & Sub-types,via_linked_story,1
NXT-38964,,,,none,0
NXT-38963,NXT-37898,NXT-37500,IM - Consolidation Enhancement & Cleanup,via_linked_story,1
NXT-38962,NXT-37844,NXT-37500,IM - Consolidation Enhancement & Cleanup,via_linked_story,1
NXT-38929,,,,none,0
NXT-38916,,,,none,0
NXT-38681,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-38675,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-38674,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-38668,,,,none,0
NXT-38653,NXT-37568,NXT-36067,IM - Item Units & Sub-types,via_linked_story,1
NXT-38566,NXT-37452,NXT-36067,IM - Item Units & Sub-types,via_linked_story,1
NXT-38544,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-38505,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-38504,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-38490,NXT-37098,NXT-37500,IM - Consolidation Enhancement & Cleanup,via_linked_story,1
NXT-38477,,NXT-45562,IM - Units Card Overhaul,direct_parent,0
NXT-38476,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-38440,,,,none,0
NXT-38402,,,,none,0
NXT-38373,NXT-37982,NXT-36067,IM - Item Units & Sub-types,via_linked_story,1
NXT-38372,NXT-37982,NXT-36067,IM - Item Units & Sub-types,via_linked_story,1
PCS-3426,,,,none,0
NXT-38149,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
PCS-3415,,,,none,0
NXT-38091,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-38020,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-38019,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-38016,,NXT-40487,IM - Production Usability Enhancements (2023),direct_parent,0
NXT-37993,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-37992,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-37983,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-37982,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37981,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
NXT-37980,,NXT-38926,IM/INV - Tech Debt and Code coverage,direct_parent,0
PCS-3399,,,,none,0
PCS-3398,,,,none,0
PCS-3397,,,,none,0
NXT-37898,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37895,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37888,NXT-36795,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,via_linked_story,1
NXT-37882,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37881,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37851,,,,none,0
NXT-37846,NXT-26814,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,via_linked_story,1
NXT-37844,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37818,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37815,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37796,,,,none,0
NXT-37794,NXT-37621,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-37680,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37621,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-37618,NXT-35694,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,via_linked_story,1
NXT-37589,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37568,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37501,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37452,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37441,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37425,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37239,,,,none,0
NXT-37238,NXT-36870,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-37217,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37216,,NXT-51260,IM - Usability & UX Enhancements (8.X),direct_parent,0
NXT-37175,NXT-36741,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-37139,NXT-36741,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
PCS-3332,,,,none,0
NXT-37112,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37111,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37110,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37109,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37108,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-37098,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-37086,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37068,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-37054,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37053,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37052,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-37051,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-36968,,,,none,0
NXT-36872,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36871,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36870,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36857,NXT-36110,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36840,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-36800,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36799,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36795,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-36791,NXT-36359,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36790,NXT-36358,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36766,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36760,NXT-34510,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36743,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36742,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36741,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36665,,,,none,0
NXT-36583,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36547,NXT-36106,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36493,NXT-36106,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36492,NXT-36106,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36491,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-36474,,,,none,0
NXT-36471,,NXT-36310,,direct_parent,0
NXT-36470,,NXT-36310,,direct_parent,0
NXT-36465,NXT-36105,NXT-26823,IM - Item Type Consolidation - Recipe Rework,via_linked_story,1
NXT-36417,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36399,,,,none,0
NXT-36393,,,,none,0
NXT-36359,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36358,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36340,,NXT-36310,,direct_parent,0
PCS-3208,,,,none,0
NXT-36132,NXT-35688,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,via_linked_story,1
PCS-3195,,,,none,0
NXT-36110,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36109,,NXT-37500,IM - Consolidation Enhancement & Cleanup,direct_parent,0
NXT-36108,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36107,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36106,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36105,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36073,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36072,,NXT-29833,IM - Menu & POS Consolidation,direct_parent,0
NXT-36071,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36070,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36069,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-36068,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-35898,,NXT-36067,IM - Item Units & Sub-types,direct_parent,0
NXT-35789,,NXT-51260,IM - Usability & UX Enhancements (8.X),direct_parent,0
NXT-35788,,NXT-35290,,direct_parent,0
NXT-35697,,NXT-38088,IM - Item Type Consolidation - Item Master & Module Improvements,direct_parent,0
NXT-35694,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-35689,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-35688,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-35649,,NXT-23985,,direct_parent,0
NXT-35619,,,,none,0
PCS-3101,,,,none,0
NXT-35456,,,,none,0
PCS-3049,,,,none,0
NXT-35228,,,,none,0
NXT-35216,NXT-33303,NXT-29726,IM - General Enhancements (R6.2),via_linked_story,1
NXT-35148,,,,none,0
PCS-2700,,,,none,0
PCS-2661,,,,none,0
NXT-34926,,,,none,0
PCS-2621,,,,none,0
PCS-2601,,,,none,0
NXT-34870,,,,none,0
NXT-34869,,,,none,0
NXT-34852,,,,none,0
NXT-34848,,,,none,0
PCS-2519,,,,none,0
PCS-2484,,,,none,0
NXT-34787,,,,none,0
NXT-34784,,,,none,0
PCS-2466,,,,none,0
PCS-2453,,,,none,0
PCS-2451,,,,none,0
PCS-2448,,,,none,0
PCS-2421,,,,none,0
PCS-2419,,,,none,0
PCS-2416,,,,none,0
PCS-2414,,,,none,0
PCS-2411,,,,none,0
PCS-2404,,,,none,0
PCS-2403,,,,none,0
PCS-2398,,,,none,0
PCS-2397,,,,none,0
PCS-2393,,,,none,0
NXT-34673,,,,none,0
NXT-34672,,,,none,0
PCS-2391,,,,none,0
PCS-2390,,,,none,0
PCS-2389,,,,none,0
PCS-2384,,,,none,0
PCS-2383,,,,none,0
PCS-2376,,,,none,0
NXT-34666,,,,none,0
NXT-34663,,,,none,0
PCS-2370,,,,none,0
PCS-2369,,,,none,0
PCS-2368,,,,none,0
PCS-2367,,,,none,0
PCS-2364,,,,none,0
PCS-2362,,,,none,0
PCS-2361,,,,none,0
NXT-34659,,,,none,0
NXT-34658,,,,none,0
PCS-2357,,,,none,0
PCS-2351,,,,none,0
PCS-2349,,,,none,0
PCS-2348,,,,none,0
PCS-2347,,,,none,0
PCS-2343,,,,none,0
PCS-2327,,,,none,0
NXT-34511,,NXT-29833,IM - Menu & POS Consolidation,direct_parent,0
NXT-34510,,NXT-26823,IM - Item Type Consolidation - Recipe Rework,direct_parent,0
NXT-34481,,NXT-39591,IM - Recipe/Menu Item Management Expansion,direct_parent,0
NXT-34480,,NXT-42699,IM - List Page & Nav Updates,direct_parent,0
NXT-34237,,NXT-42699,IM - List Page & Nav Updates,direct_parent,0
NXT-34236,,NXT-29833,IM - Menu & POS Consolidation,direct_parent,0
NXT-34198,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
PCS-2047,,,,none,0
NXT-33584,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-33583,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-33303,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-33173,,NXT-29086,,direct_parent,0
NXT-32932,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-32108,,NXT-29086,,direct_parent,0
NXT-32107,,NXT-29086,,direct_parent,0
NXT-31999,,NXT-64951,IM - Usability & UX Enhancements (9.X),direct_parent,0
NXT-31941,,NXT-31859,IM/INV - Report Updates & PowerBI Conversion,direct_parent,0
NXT-31864,,NXT-42699,IM - List Page & Nav Updates,direct_parent,0
NXT-31863,,NXT-46237,IM - Reports (9.X),direct_parent,0
NXT-31862,,NXT-46237,IM - Reports (9.X),direct_parent,0
NXT-31861,,NXT-46237,IM - Reports (9.X),direct_parent,0
NXT-31860,,NXT-46237,IM - Reports (9.X),direct_parent,0
NXT-31743,,NXT-29086,,direct_parent,0
NXT-31742,,NXT-29086,,direct_parent,0
NXT-31741,,NXT-29086,,direct_parent,0
NXT-31713,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-31496,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-31492,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-31491,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-31396,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-31390,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-31389,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-31354,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-31307,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-31284,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-31283,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-31281,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-31102,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-30978,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-30833,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30763,,NXT-29833,IM - Menu & POS Consolidation,direct_parent,0
NXT-30656,,NXT-19105,IM - Onboarding,direct_parent,0
NXT-30480,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-30293,,NXT-39591,IM - Recipe/Menu Item Management Expansion,direct_parent,0
NXT-30278,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-30254,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30253,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30224,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30217,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30216,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30168,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-30166,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30155,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30154,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30132,,NXT-39591,IM - Recipe/Menu Item Management Expansion,direct_parent,0
NXT-30131,,NXT-29726,IM - General Enhancements (R6.2),direct_parent,0
NXT-30128,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30123,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30103,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
NXT-30102,,NXT-30027,IM - Item Details Overhaul,direct_parent,0
