key,issuetype,module,status,resolution,created,summary
NXT-63839,Bug,System,Closed,Done,7/8/2025 4:20 AM,Regression | CR | PDF reports are not being distributed in the migration environment
NXT-63858,Bug,System,Closed,Done,7/9/2025 1:52 AM,Regression Bug - UAT & Migration Env - We are getting 500 Error when we try to update Profile page.
NXT-63936,Task,Eligibility,Done Done,,7/11/2025 1:12 PM,Testing in Migration Environment - 9.0 Release
NXT-63967,Task,Item Management,Done Done,,7/14/2025 12:04 PM,BO - Migration Smoke Testing(9.3)
NXT-64136,Task,Platform - Data Exchange,Done Done,,7/15/2025 2:14 PM,Brownwood Migration Findings
NXT-64653,Task,Menu Planning,Done Done,,7/25/2025 5:07 AM,"Migration - Navigation and basic functionalities check on menu planning, production, and inventory modules"
NXT-64705,Task,Menu Planning,Done Done,,7/28/2025 6:35 AM,"QA, UAT & Migration - Worked on multiple tasks in all environments"
NXT-64989,Task,Eligibility,Done Done,,8/4/2025 3:51 PM,Testing in Migration Environment - 9.3 Release
NXT-65175,Task,Menu Planning,Done Done,,8/6/2025 6:15 AM,Tried to replicate the PCS-4297 observation in UAT and Migration Environment
NXT-65504,Story,Family Hub,Done Done,Done,8/12/2025 9:19 AM,FH - WebView Update for Adams 12 App
NXT-65733,Task,Platform - Data Exchange,Done Done,,8/20/2025 5:18 PM,Anchorage School District Migration
NXT-65769,Task,Eligibility,Done Done,,8/21/2025 11:15 AM,Testing in Migration Environment - 9.4 Release
NXT-65775,Task,Eligibility,Done Done,,8/21/2025 11:16 AM,Testing in Migration Environment - 9.5 Release
NXT-65781,Task,Eligibility,Done Done,,8/21/2025 11:18 AM,Testing in Migration Environment - 9.6 Release
NXT-65787,Task,Eligibility,Done Done,,8/21/2025 11:20 AM,Testing in Migration Environment - 9.11 Release
NXT-65793,Task,Eligibility,Done Done,,8/21/2025 11:21 AM,Testing in Migration Environment - 9.7 and 9.8 Release
NXT-65800,Task,Eligibility,Done Done,,8/21/2025 11:23 AM,Testing in Migration Environment - 9.9 Release
NXT-65808,Task,Eligibility,Done Done,,8/21/2025 11:25 AM,Testing in Migration Environment - 9.10 Release
NXT-66001,Task,Menu Planning,Done Done,,8/27/2025 10:50 AM,Recipe Onboarding  - Testing in Migration and Staging env
NXT-66331,Story,Accountability,Done Done,Done,9/7/2025 8:13 PM,ACC - Attendance Feature - Migration
NXT-66443,Story,Family Hub,Release Testing,Done,9/11/2025 9:42 AM,Family Hub - WoodForest migration
NXT-66990,Task,Item Management,Done Done,,10/3/2025 9:57 AM,BO - Migration/Production Smoke Testing(9.4)
NXT-67042,Task,Global Catalog,In Progress,,10/6/2025 3:45 AM,"Migration environment testing for GC Portal, SC and PE."
NXT-67372,Task,Item Management,Done Done,,10/9/2025 1:15 PM,Remove Duplicate Units in production created during migration
NXT-67438,Task,Platform - Data Exchange,Done Done,,10/14/2025 8:54 PM,Anchorage District Migration - BO
NXT-67479,Story,Financials,Done Done,,10/15/2025 11:29 AM,Tullahoma Financials enhancements
NXT-67621,Story,Platform - Data Exchange,New,,10/23/2025 11:59 AM,District Migration-Anchorage School District-BO Migration
NXT-67663,Task,Item Management,Done Done,,10/24/2025 9:50 AM,BO - Migration/Production Smoke Testing(9.5)
NXT-68139,Bug,Production,Closed,Done,11/6/2025 9:22 AM,Planner AI - Planner AI > Menu Analysis API calls are throwing 404 error in Migration.
NXT-68249,Enhancement,Menu Planning,Done Done,Done,11/12/2025 1:35 PM,Texas City - Pre-K Meal pattern(2 of 5 Components) 
NXT-68250,Enhancement,Menu Planning,New,,11/12/2025 1:46 PM,Texas City - Snack Pre-K Meal pattern and CACFP
NXT-68325,Task,Item Management,Done Done,,11/14/2025 12:42 PM,BO - Migration/Production Smoke Testing(9.6)
NXT-68632,Story,Platform - Data Exchange,Done Done,,11/24/2025 10:58 AM,District Migration-Mankato Area Public Schools ISD 77
NXT-68762,Task,Item Management,Done Done,,12/3/2025 12:49 PM,BO - Migration/Production Smoke Testing(9.8)
NXT-69292,Enhancement,Menu Planning,Done Done,Done,1/2/2026 11:24 AM,SC Implementation - Hill City ISD #2 - Nutrient Report Issue
NXT-69492,Story,Accountability,Done Done,Done,1/15/2026 2:22 PM,Acc DQ - Adams 12 - SchoolCafe - Oracle financial exports
NXT-69511,Task,Item Management,Done Done,,1/16/2026 1:32 PM,BO - Migration Smoke Testing(9.10)
NXT-69805,Story,Platform - Data Exchange,New,,1/29/2026 7:09 AM,District Migration-Inventory Module Migration
NXT-69850,Story,Platform - Data Exchange,Done Done,,2/1/2026 7:01 PM,District Migration-Mankato Area Public Schools ISD 77
NXT-70116,Task,Family Hub,Done Done,,2/10/2026 12:02 PM,Data Migration Testing - Mankato School ISD (Family Hub)
NXT-70120,Bug,Menu Planning,Closed,Done,2/10/2026 12:52 PM,Mankato District Migration - Multiple Observations
NXT-70188,Task,Menu Planning,Done Done,,2/11/2026 8:53 AM,District Migration Testing 
NXT-70196,Task,Item Management,Done Done,,2/11/2026 10:55 AM,BO - District Migration Testing
NXT-70267,Task,Eligibility,Done Done,,2/13/2026 10:12 AM,Updating the UAT and Migration Environments for the Latest Eligibility UI components
NXT-70518,Task,Eligibility,Done Done,,2/25/2026 6:06 PM,Testing in Migration Environment - 9.12 Release
NXT-70524,Task,Eligibility,Done Done,,2/25/2026 6:07 PM,Testing in Migration Environment - 9.13 Release
NXT-70627,Task,Item Management,Done Done,,2/27/2026 2:06 PM,BO - Migration Smoke Testing(9.11)
NXT-70754,Story,Platform - Data Exchange,Done Done,,3/3/2026 7:39 AM,District Migration  - Post Migration Mankato Findings
NXT-71223,Story,Platform - Data Exchange,Done Done,,3/17/2026 4:09 PM,District Migration - Washburn
NXT-71276,Task,Item Management,Done Done,,3/20/2026 8:41 AM,BO - Migration Smoke Testing(9.12)
NXT-71439,Task,Item Management,Done Done,,3/25/2026 2:24 AM,Release & Migration Testing - IM - Bulk update tool
NXT-71678,Bug,Item Management,Closed,Done,4/6/2026 2:26 AM,Regression: Migration-Bulk Update-Published/Unpublished Inventory status are missing in overview page
NXT-71743,Feature,Platform - Data Exchange,In Progress,,4/7/2026 8:42 AM,District Migrations 2026
NXT-71845,Task,Item Management,Done Done,,4/10/2026 8:29 AM,BO - Migration Smoke Testing(9.13)
NXT-71875,Story,Platform - Data Exchange,Done Done,,4/13/2026 8:06 AM,FamilyHub - District Migration - Washburn
NXT-71887,Task,Accountability,Testing,,4/13/2026 2:53 PM,Dilworth District Migration Testing - FO Modules
NXT-71897,Story,Platform - Data Exchange,In Progress,,4/13/2026 4:20 PM,Dilworth - District Migration
NXT-72021,Task,Item Management,Done Done,,4/15/2026 8:58 AM,Washburn - District Migration Testing
NXT-72040,Story,Platform - Data Exchange,In Progress,,4/15/2026 5:02 PM,Dilworth - FamilyHub District Migration
NXT-72097,Task,Menu Planning,Done Done,,4/16/2026 6:46 AM,Production Planning Data Migration & Contracts Finalized for Add Menu And Menu Item Info 
NXT-72122,Bug,Menu Planning,Closed,Done,4/17/2026 9:46 AM,Washburn District Migration - Multiple observations
NXT-72211,Bug,System,Closed,Done,4/24/2026 12:55 PM,Regression - Acc DQ - Adams 12 - SchoolCafe - Oracle financial exports -issue
NXT-72213,Bug,Menu Planning,Closed,Done,4/24/2026 3:19 PM,Washburn District Migration - Contributions jumbled.
NXT-72214,Bug,Menu Planning,Closed,Done,4/24/2026 3:43 PM,Washburn District Migration - Serving Weights issue.
NXT-72216,Bug,Menu Planning,Closed,Done,4/24/2026 4:00 PM,Washburn District Migration - Sub recipe issue.
NXT-72234,Bug,Menu Planning,Closed,Done,4/27/2026 2:22 PM,Washburn District Migration - Preferred Measure flag is missing.
NXT-72235,Bug,Menu Planning,On Hold,,4/27/2026 2:28 PM,District Migration(Washburn) - Not bringing Tap Water as recipe ingredient.
NXT-72236,Bug,Menu Planning,Closed,Done,4/27/2026 2:35 PM,Washburn District Migration - Quantity needed changed from Ounce to Cup.
NXT-72367,Task,Item Management,Done Done,,5/1/2026 12:17 PM,Washburn - District Migration Testing
NXT-72401,Task,Item Management,Done Done,,5/4/2026 4:58 AM,"QA, UAT & Migration - Testing : PCS-4510 - Recipes ""<-- Back"" button takes to Item Page and not Recipes Page"
NXT-72487,Task,Eligibility,Done Done,,5/5/2026 9:25 AM,Testing in Migration Environment - 9.14 Release
NXT-72493,Task,Eligibility,New,,5/5/2026 9:29 AM,Testing in Migration Environment - 9.15 Release
NXT-72645,Task,Family Hub,In Progress,,5/6/2026 8:53 AM,Family Hub (Production) - Migrate the data from Authorize.Net to WoodForest
NXT-72680,Bug,Accountability,Rejected,,5/8/2026 1:53 PM,Dilworth District Migration - Edit check page - issue
NXT-72681,Bug,Accountability,Closed,Done,5/8/2026 1:57 PM,Dilworth District Migration - Accountability - pages are not showing
NXT-72682,Bug,Account Management,In Progress,,5/8/2026 2:36 PM,Dilworth District Migration - Acct Mgmt - Notification history and generated time
NXT-72683,Bug,Account Management,In Progress,,5/8/2026 2:44 PM,Dilworth District Migration - Acct Mgmt - Multiple observations on Account Info
NXT-72684,Bug,Eligibility,New,,5/8/2026 3:20 PM,Dilworth District Migration - Eligibility - Case type info is blank on application details page
NXT-72686,Bug,Eligibility,On Hold,,5/8/2026 3:42 PM,Dilworth District Migration - Eligibility -  SSN and signature info are not matching on application details page
NXT-72687,Bug,Eligibility,In Progress,,5/8/2026 3:53 PM,Dilworth District Migration - Eligibility -  Notification date on verification details page
NXT-72701,Bug,Family Hub,Closed,Done,5/11/2026 9:52 AM,Regression - Family Hub - Woodforest payments are failing if phone number does not have 10 digits
NXT-72717,Bug,Family Hub,Closed,Done,5/11/2026 10:41 AM,Washburn - District migration - family hub - publish menus for Lunch meal type - it is not showing in the family hub
NXT-72741,Bug,Menu Planning,Closed,Done,5/11/2026 12:46 PM,Washburn District Migration - Not all ingredients from the Recipe are being migrated.
NXT-72745,Bug,Accountability,Closed,Done,5/11/2026 12:54 PM,Dilworth - migration - Activity report - is not matching
NXT-72749,Bug,Menu Planning,Closed,Done,5/11/2026 1:00 PM,Washburn District Migration - Menu Item without Contributions.
NXT-72751,Bug,Menu Planning,Closed,Done,5/11/2026 1:17 PM,Washburn District Migration - Showing a blank cost or value on the Menu Item serving.
