key,label,request_type,module,issuetype,status,summary
NXT-65485,general-product,,Financials,Story,New,Create Stored Procedure to Apply Debit/Credit Rules and Post Transactions to General Ledger
NXT-65486,general-product,,Financials,Story,New,Income Statement Pt.5 Meal Counts
NXT-65487,general-product,,Financials,Story,New, View POS Postings
NXT-65504,customer-specific,FD,Family Hub,Story,Done Done,FH - WebView Update for Adams 12 App
NXT-65541,customer-specific,FD,Accountability,Story,New,FO - Year Begin - Updates
NXT-65553,general-product,,Inventory,Story,Done Done,INV - Internal Vendors - Contracts - Distribution Settings
NXT-65567,general-product,,PE Insights,Story,Done Done,WS - Filters - Custom Date functionality - WS - Filters - Date Range All Previous Years - PE & SC
NXT-65571,general-product,,SCTV,Story,New,Prod APIs Environment for 2.0
NXT-65573,uncertain,,Accountability,Story,Done Done,ACC - Attendance Feature - Edit Check Worksheet Report
NXT-65574,general-product,,Production,Story,Story Refinement/Efforting,PR - Pre & Post Production Analysis - Combine into Single Page & ability to pick analysis type
NXT-65588,general-product,,Global Catalog,Story,Future Merge,GC Portal - UI Changes for Importable Item (Indicator/Tool Tip)
NXT-65589,general-product,,Global Catalog,Story,Future Merge,PE - All Vs Cybersoft - UI Changes
NXT-65590,general-product,,Global Catalog,Story,Future Merge,SC - All Vs Cybersoft - UI Changes
NXT-65612,general-product,,Inventory,Story,Done Done,INV - Internal Vendors - Items - Emphasize Default group when no Schedule exists
NXT-65613,general-product,,Inventory,Story,New,INV - Distribution - Quantities Report - Expanded Header Info
NXT-65614,general-product,,Inventory,Story,Done Done,INV - Distribution - Quantities Report - Unassigned Distributions (Summary Report)
NXT-65644,general-product,,Inventory,Story,Done Done,INV - Internal Vendors - Ordering Conditions - Indicate Unassigned sites
NXT-65651,general-product,,Platform - Data Exchange,Story,Future Merge,GC Portal - Settings in SC
NXT-65652,general-product,,Global Catalog,Story,Release Testing,GC Portal - Search and View Cybersoft Catalog Item
NXT-65653,general-product,,Global Catalog,Story,New,GC Portal - Audit Log - Master Data
NXT-65654,general-product,,Global Catalog,Story,New,GC Portal - Audit Log - Cybersoft Catalog Item
NXT-65656,general-product,,Global Catalog,Story,Future Merge,PE - UI Changes for Importable Item (Indicator/Tool Tip)
NXT-65657,general-product,,Global Catalog,Story,Future Merge,SC - UI Changes for Importable Item (Indicator/Tool Tip)
NXT-65875,general-product,,PE Insights,Story,Done Done,SC-Insights-All KPI sql queries should run on SQL Server replica in Production environment
NXT-65949,general-product,,Global Catalog,Story,Future Merge,GC Portal - Manage Publishing Process - UI Integration
NXT-65992,general-product,,Inventory,Story,Done Done,INV - Vendors - Combine Vendor and Contact tabs
NXT-66006,general-product,,Production,Story,Done Done,Planner AI - Menu Analysis - Add All date Ranges
NXT-66007,general-product,,Item Management,Story,Done Done,IM - Item Onboarding - Add Special Permission
NXT-66038,general-product,,Account Management,Story,Done Done,AcctMgt - Accounts - Excel export update for Barcode fields
NXT-66042,general-product,,SCTV,Enhancement,Done Done,SCTV - New workflow for category assignment to default templates
NXT-66043,general-product,,SCTV,Enhancement,Done Done,SCTV API Update – Restrict Categories to Linked Site
NXT-66046,general-product,,SCTV,Enhancement,New,Optimize resolution of SCTV Web App
NXT-66123,general-product,,Financials,Story,New,View Inventory Postings
NXT-66135,general-product,,System,Story,Future Merge,LMA - License Keys - Bulk Renew
NXT-66136,general-product,,Financials,Story,New,Add New Entry button
NXT-66138,general-product,,Menu Planning,Enhancement,Done Done,"Menu Cycle / Pre / Post Analysis Food Components pages - Remove MMA Related Stuff  (2014+, Breakfast)"
NXT-66208,general-product,,Inventory,Story,Done Done,INV - Orders (Internal Vendors) - Updated logic for ordering from distribution site perpetual
NXT-66209,general-product,,Inventory,Story,Done Done,INV - Distribution - Consider setting for Source of Substitutions
NXT-66210,general-product,,Inventory,Story,Done Done,INV - Distribution - Consider setting for Orders After Assignment
NXT-66226,general-product,,Production,Story,In Progress,PR - Record - Calculation update for Reimbursable menu items
NXT-66228,general-product,,Production,Story,Done Done,MP/PR - USDA Corrections for Analysis 2025
NXT-66237,general-product,,Accountability,Story,Done Done,"ACC - Labor Hours - Delete actions, History tracking"
NXT-66238,general-product,,Accountability,Story,Done Done,ACC - Labor Hours - Copy Settings
NXT-66293,general-product,,PE Insights,Story,Done Done,PE-SC Insights -Reimbursable Meals- Revenue KPI
NXT-66294,general-product,,Menu Planning,Enhancement,PO Review,CACFP - Fruits/Veg changes and Icon changes
NXT-66298,general-product,,Mobile App,Story,Future Merge,CC - Reports - PE Distributed Reports
NXT-66299,general-product,,Mobile App,Story,Future Merge,CC - WS - PE Messages
NXT-66300,general-product,,Mobile App,Story,Future Merge,CC - General Updates
NXT-66301,general-product,,Accountability,Story,Done Done,Sys - Special Programs - Override % options
NXT-66303,general-product,,Global Catalog,Story,Release Merge,PE - Render USDA Source - Based on New API
NXT-66304,general-product,,Global Catalog,Story,Future Merge,PE -Populate Matching Status
NXT-66305,general-product,,Global Catalog,Story,Future Merge,API - Include other GTINs / Product Code in Multiple GTIN Search Criteria
NXT-66306,general-product,,Global Catalog,Story,Future Merge,"API Change - Populate Curated Include Item Category, Storage Category, Valuation Category"
NXT-66307,general-product,,Global Catalog,Story,Future Merge,SC - View External Source Data - Inclusion of Images in UI
NXT-66308,general-product,,Global Catalog,Story,Future Merge,GC Portal - View External Source Data - Inclusion of Images in UI
NXT-66309,general-product,,Global Catalog,Story,Story Refinement/Efforting,API Changes - Serving Size Parsing Changes
NXT-66310,general-product,,Global Catalog,Story,Future Merge,Translated Data Download - Field Level Changes
NXT-66311,general-product,,Global Catalog,Story,Future Merge,PE - View External Source Data - Inclusion of Images in UI
NXT-66312,general-product,,Global Catalog,Story,New,GC Portal - Manual Upload of New Items - USDA Branded Foods
NXT-66313,general-product,,Global Catalog,Story,New,PE - My Items Page
NXT-66315,general-product,,Global Catalog,Story,Story Refinement/Efforting,SC - Data Filters - UI Changes
NXT-66316,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Updating an Cybersoft Item (CRUD) - API Changes
NXT-66317,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Updating an Cybersoft Item (CRUD) - UI Changes
NXT-66318,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Updating an USDA Item (CRUD) - API Changes
NXT-66319,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Updating an USDA Item (CRUD) - UI Changes
NXT-66320,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - Audit Log for Master Data - API Changes
NXT-66321,general-product,,Global Catalog,Story,Release Merge,SQL Job for Published Status - for New Items
NXT-66322,general-product,,Global Catalog,Story,New, API Change - Search by Vendor Product ID - Multiple
NXT-66323,general-product,,Global Catalog,Story,New,GC Portal - Default Home page - when user directly types them 
NXT-66324,general-product,,Global Catalog,Story,New,GC Portal - Dashboard
NXT-66325,general-product,,Global Catalog,Story,Future Merge,GC - Portal Update Search Key - during CRUD Operations
NXT-66326,general-product,,Global Catalog,Story,New,PE - Create New Item using Vendor Item Template (GDSN Connect API)
NXT-66327,general-product,,Global Catalog,Story,New,SC - Create New Item using Vendor Item Template (GDSN Connect API) - In QA
NXT-66329,general-product,,Global Catalog,Story,New,PE - Pending Uploads - Mark as Reviewed - Count Overhaul
NXT-66330,general-product,,Global Catalog,Story,Future Merge,"API Change - Missing Fields from external data sources, cybersoft and usda -all missing sections and from open food facts"
NXT-66331,migration,,Accountability,Story,Done Done,ACC - Attendance Feature - Migration
NXT-66332,general-product,,Accountability,Story,Done Done,ACC - Attendance Feature - Monthly Entry - Main Grid and Filters
NXT-66333,general-product,,Accountability,Story,Done Done,ACC - Attendance Feature - Monthly Entry Updates and Saving
NXT-66334,general-product,,Accountability,Story,Done Done,ACC - Attendance Feature - Daily Entry - Main Grids and Filters
NXT-66335,general-product,,Accountability,Story,Done Done,ACC - Attendance Feature - Daily Entry - Update and Saving
NXT-66346,general-product,,Global Catalog,Story,Future Merge,GC Portal -Populate Matching Status
NXT-66351,general-product,,Item Management,Enhancement,Done Done,IM - Item onboarding - Session IDs incrementing per environment instead of district wise
NXT-66358,general-product,,PE Insights,Story,In Progress,SC & PE > Insights UI for ADA compliance
NXT-66379,general-product,,Financials,Story,New,Import script for chart of accounts (Proposed #3)
NXT-66380,general-product,,Financials,Story,New,Import Button
NXT-66384,general-product,,Financials,Story,Done Done,Fin - Push Meal Sales Revenue from Accountability to Financials for Automation
NXT-66385,general-product,,Financials,Story,New,Reimbursement Posting
NXT-66386,general-product,,Financials,Story,New,Inventory Usage (including Commodity Usage)
NXT-66387,general-product,,Financials,Story,New,Inventory Transfers (between sites or warehouse)
NXT-66388,general-product,,Financials,Story,New,Inventory Fees (warehouse-related costs)
NXT-66389,general-product,,Financials,Story,New,Inventory Withdrawals / Waste
NXT-66392,general-product,,System,Story,Done Done,Login page remember me feature implementation
NXT-66416,general-product,,PE Insights,Story,Done Done,SC Insights - Remove Old Navigation
NXT-66419,general-product,,SCTV,Story,Done Done,Update SchoolCafe TV FAQs
NXT-66438,general-product,,Item Management,Story,Ready for Development,IM - Recipes - Ingredients - Direction Options (Print Recipe)
NXT-66443,migration,,Family Hub,Story,Release Testing,Family Hub - WoodForest migration
NXT-66550,general-product,,Financials,Story,New,Initial Fund Balance Setup
NXT-66563,general-product,,Financials,Story,New,Manage POS Postings
NXT-66565,general-product,,PE Insights,Story,Done Done,PE-Insights-Benchmark DB table changes for Benchmark History
NXT-66570,general-product,,PE Insights,Story,Done Done,WS - Benchmark - DB table changes for Benchmark History
NXT-66677,general-product,,Accountability,Story,Testing,SchoolCafe - FO Modules - ADA Compliance
NXT-66690,general-product,,Platform - Data Exchange,Story,New,Rewrite Database Wrapper for Performance Improvements
NXT-66719,general-product,,Accountability,Story,New,FO - Accountability - reports - Site Balancing(maybe)
NXT-66738,general-product,,Inventory,Enhancement,Done Done,INV - (Internal) Vendor - Ordering Conditions - Hide Unassigned and Default groups in the grid
NXT-66773,general-product,,Accountability,Story,New,Reconnection Trigger for Heartbeat in SCTV+
NXT-66775,general-product,,Inventory,Enhancement,Done Done,INV - Orders - Quick Receipts - Hide internal vendors
NXT-66785,general-product,,Global Catalog,Story,Ready For Testing,GC Portal - Create Item API (Cybersoft Catalog)
NXT-66786,general-product,,Global Catalog,Story,Ready For Testing,GC Portal - Create Item - UI Integration (Cybersoft Catalog)
NXT-66787,general-product,,Global Catalog,Story,Future Merge,GC Portal - Filter by Importable Item
NXT-66788,general-product,,Global Catalog,Story,Ready for Development,GC Portal - Filter by Item Category
NXT-66792,general-product,,POS,Story,Done Done,POS - Inactive Students - Do not pull inactive visiting students
NXT-66795,general-product,,Financials,Story,New,GL Account File Upload and Basic Validation
NXT-66796,general-product,,Financials,Story,New,GL Account Import Processing and Error Handling
NXT-66797,general-product,,Financials,Story,New,GL Account Re-upload and Replacement Logic
NXT-66798,general-product,,Eligibility,Story,Done Done,Elig - Apps - Pending Students with multiple matches
NXT-66800,general-product,,Global Catalog,Story,New,DB Enabler - File Based Matching - API
NXT-66801,general-product,,Global Catalog,Story,New,PE - File Based Matching - UI
NXT-66802,general-product,,Global Catalog,Story,New,SC - File Based Matching - UI
NXT-66803,general-product,,Global Catalog,Story,New,GC Portal - File Based Matching - UI
NXT-66804,general-product,,Global Catalog,Story,New,"DB Enabler - USDA BF - Enable Fields for Meal Credits, Allergens, Pack Size, Images "
NXT-66805,general-product,,Global Catalog,Story,Ready for Development,GC - Portal - Usage of Setup Values / Validations during CRUD operations
NXT-66806,general-product,,Global Catalog,Story,Story Refinement/Efforting,DB Enabler - Include Base GTIN Update during CRUD Operations
NXT-66807,general-product,,Global Catalog,Story,Future Merge,API Enabler - Include Item Category for USDA BF
NXT-66808,general-product,,Global Catalog,Story,Future Merge,API Enabler - Include Item Category for Cybersoft Catalog
NXT-66809,general-product,,Global Catalog,Story,Release Merge,PE - Include Item Category for USDA BF API
NXT-66810,general-product,,Global Catalog,Story,Future Merge,SC - Include Item Category for USDA BF - UI
NXT-66811,general-product,,Global Catalog,Story,Future Merge,GC Portal - Include Item Category for USDA BF - UI
NXT-66812,general-product,,Global Catalog,Story,Future Merge,PE - Include Item Category for Cybersoft Catalog / UI
NXT-66813,general-product,,Global Catalog,Story,Future Merge,SC - Include Item Category for Cybersoft Catalog / UI
NXT-66814,general-product,,Global Catalog,Story,Future Merge,GC Portal - Include Item Category for Cybersoft Catalog / UI
NXT-66815,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Brand Master
NXT-66816,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Manufacturer Master
NXT-66817,general-product,,Global Catalog,Story,New,SQL - Job - Add New Record in Item Category Master
