key,category,issuetype,module,status,created,summary
NXT-63839,generic/infra,Bug,System,Closed,7/8/2025 4:20 AM,Regression | CR | PDF reports are not being distributed in the migration environment
NXT-63858,generic/infra,Bug,System,Closed,7/9/2025 1:52 AM,Regression Bug - UAT & Migration Env - We are getting 500 Error when we try to update Profile page.
NXT-63936,generic/infra,Task,Eligibility,Done Done,7/11/2025 1:12 PM,Testing in Migration Environment - 9.0 Release
NXT-63967,generic/infra,Task,Item Management,Done Done,7/14/2025 12:04 PM,BO - Migration Smoke Testing(9.3)
NXT-64136,generic/infra,Task,Platform - Data Exchange,Done Done,7/15/2025 2:14 PM,Brownwood Migration Findings
NXT-64653,generic/infra,Task,Menu Planning,Done Done,7/25/2025 5:07 AM,"Migration - Navigation and basic functionalities check on menu planning, production, and inventory modules"
NXT-64705,generic/infra,Task,Menu Planning,Done Done,7/28/2025 6:35 AM,"QA, UAT & Migration - Worked on multiple tasks in all environments"
NXT-64989,generic/infra,Task,Eligibility,Done Done,8/4/2025 3:51 PM,Testing in Migration Environment - 9.3 Release
NXT-65175,generic/infra,Task,Menu Planning,Done Done,8/6/2025 6:15 AM,Tried to replicate the PCS-4297 observation in UAT and Migration Environment
NXT-65733,customer-district,Task,Platform - Data Exchange,Done Done,8/20/2025 5:18 PM,Anchorage School District Migration
NXT-65769,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:15 AM,Testing in Migration Environment - 9.4 Release
NXT-65775,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:16 AM,Testing in Migration Environment - 9.5 Release
NXT-65781,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:18 AM,Testing in Migration Environment - 9.6 Release
NXT-65787,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:20 AM,Testing in Migration Environment - 9.11 Release
NXT-65793,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:21 AM,Testing in Migration Environment - 9.7 and 9.8 Release
NXT-65800,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:23 AM,Testing in Migration Environment - 9.9 Release
NXT-65808,generic/infra,Task,Eligibility,Done Done,8/21/2025 11:25 AM,Testing in Migration Environment - 9.10 Release
NXT-66001,generic/infra,Task,Menu Planning,Done Done,8/27/2025 10:50 AM,Recipe Onboarding  - Testing in Migration and Staging env
NXT-66331,generic/infra,Story,Accountability,Done Done,9/7/2025 8:13 PM,ACC - Attendance Feature - Migration
NXT-66443,payment-gateway (WoodForest),Story,Family Hub,Release Testing,9/11/2025 9:42 AM,Family Hub - WoodForest migration
NXT-66990,generic/infra,Task,Item Management,Done Done,10/3/2025 9:57 AM,BO - Migration/Production Smoke Testing(9.4)
NXT-67042,generic/infra,Task,Global Catalog,In Progress,10/6/2025 3:45 AM,"Migration environment testing for GC Portal, SC and PE."
NXT-67372,generic/infra,Task,Item Management,Done Done,10/9/2025 1:15 PM,Remove Duplicate Units in production created during migration
NXT-67438,customer-district,Task,Platform - Data Exchange,Done Done,10/14/2025 8:54 PM,Anchorage District Migration - BO
NXT-67621,customer-district,Story,Platform - Data Exchange,New,10/23/2025 11:59 AM,District Migration-Anchorage School District-BO Migration
NXT-67663,generic/infra,Task,Item Management,Done Done,10/24/2025 9:50 AM,BO - Migration/Production Smoke Testing(9.5)
NXT-68139,generic/infra,Bug,Production,Closed,11/6/2025 9:22 AM,Planner AI - Planner AI > Menu Analysis API calls are throwing 404 error in Migration.
NXT-68325,generic/infra,Task,Item Management,Done Done,11/14/2025 12:42 PM,BO - Migration/Production Smoke Testing(9.6)
NXT-68632,customer-district,Story,Platform - Data Exchange,Done Done,11/24/2025 10:58 AM,District Migration-Mankato Area Public Schools ISD 77
NXT-68762,generic/infra,Task,Item Management,Done Done,12/3/2025 12:49 PM,BO - Migration/Production Smoke Testing(9.8)
NXT-69511,generic/infra,Task,Item Management,Done Done,1/16/2026 1:32 PM,BO - Migration Smoke Testing(9.10)
NXT-69805,generic/infra,Story,Platform - Data Exchange,New,1/29/2026 7:09 AM,District Migration-Inventory Module Migration
NXT-69850,customer-district,Story,Platform - Data Exchange,Done Done,2/1/2026 7:01 PM,District Migration-Mankato Area Public Schools ISD 77
NXT-70116,customer-district,Task,Family Hub,Done Done,2/10/2026 12:02 PM,Data Migration Testing - Mankato School ISD (Family Hub)
NXT-70120,customer-district,Bug,Menu Planning,Closed,2/10/2026 12:52 PM,Mankato District Migration - Multiple Observations
NXT-70188,generic/infra,Task,Menu Planning,Done Done,2/11/2026 8:53 AM,District Migration Testing 
NXT-70196,generic/infra,Task,Item Management,Done Done,2/11/2026 10:55 AM,BO - District Migration Testing
NXT-70267,generic/infra,Task,Eligibility,Done Done,2/13/2026 10:12 AM,Updating the UAT and Migration Environments for the Latest Eligibility UI components
NXT-70518,generic/infra,Task,Eligibility,Done Done,2/25/2026 6:06 PM,Testing in Migration Environment - 9.12 Release
NXT-70524,generic/infra,Task,Eligibility,Done Done,2/25/2026 6:07 PM,Testing in Migration Environment - 9.13 Release
