district_id,segment,fd_2.0_support,fd_implementation,nxt_dev_items,nxt_migration_items,est_nxt_cost_$5k,cohort
fabens,support-only (cheap tail),1,0,0,0,0,
boles,support-only (cheap tail),1,0,0,0,0,
maumee valley country day,support-only (cheap tail),1,0,0,0,0,
marion p charter,support-only (cheap tail),1,0,0,0,0,
surprise valley joint,support-only (cheap tail),1,1,0,0,0,
massachusetts department of youth services,support-only (cheap tail),1,1,0,0,0,
paris special,support-only (cheap tail),1,0,0,0,0,
grapevine faith christian,support-only (cheap tail),1,0,0,0,0,
calhoun,support-only (cheap tail),1,0,0,0,0,
southwest preparatory,support-only (cheap tail),1,0,0,0,0,
southwest charter,support-only (cheap tail),1,0,0,0,0,
centinela valley union high,support-only (cheap tail),1,1,0,0,0,
brookeland,support-only (cheap tail),1,1,0,0,0,
haralson,support-only (cheap tail),1,1,0,0,0,
celeste,support-only (cheap tail),1,1,0,0,0,
unparalleled preparatory,support-only (cheap tail),1,1,0,0,0,
wasatch peak,support-only (cheap tail),1,1,0,0,0,
clear lake,support-only (cheap tail),1,1,0,0,0,
richardson,support-only (cheap tail),1,0,0,0,0,
windham,support-only (cheap tail),1,0,0,0,0,
sst discovery,support-only (cheap tail),1,0,0,0,0,
magnolia montessori for al,support-only (cheap tail),1,0,0,0,0,
la academia de estrellas,support-only (cheap tail),1,0,0,0,0,
jarrell,support-only (cheap tail),1,0,0,0,0,
alamo heights,support-only (cheap tail),1,0,0,0,0,
sisters of st mary of oregon ministries corp,support-only (cheap tail),1,0,0,0,0,
central catholic high,support-only (cheap tail),1,0,0,0,0,
los alamos,support-only (cheap tail),1,0,0,0,0,
salem city,support-only (cheap tail),1,0,0,0,0,
myron l powell,support-only (cheap tail),1,0,0,0,0,
st joseph s,support-only (cheap tail),1,0,0,0,0,
jefferson,support-only (cheap tail),1,0,0,0,0,
newman international,support-only (cheap tail),1,0,0,0,0,
chequamnegon,support-only (cheap tail),1,1,0,0,0,
el dorado,support-only (cheap tail),1,1,0,0,0,
seneca,support-only (cheap tail),1,0,0,0,0,
mat su,support-only (cheap tail),1,0,0,0,0,
indiana state of department of education,support-only (cheap tail),1,1,0,0,0,
hacienda la puente,support-only (cheap tail),1,0,0,0,0,
bolivar,support-only (cheap tail),1,1,0,0,0,
joplin,support-only (cheap tail),1,0,0,0,0,
ledyard charter,support-only (cheap tail),1,0,0,0,0,
houston,support-only (cheap tail),1,0,0,0,0,
reeds spring,support-only (cheap tail),1,1,0,0,0,
amherst,support-only (cheap tail),1,1,0,0,0,
east hampton,support-only (cheap tail),1,0,0,0,0,
mount vernon city,support-only (cheap tail),1,0,0,0,0,
boling,support-only (cheap tail),1,0,0,0,0,
columbia,support-only (cheap tail),1,0,0,0,0,
lena public,support-only (cheap tail),1,0,0,0,0,
simply scratch,support-only (cheap tail),1,1,0,0,0,
monroe j,support-only (cheap tail),1,0,0,0,0,
magdalena municipal,support-only (cheap tail),1,1,0,0,0,
phoenix of roseburg,support-only (cheap tail),1,1,0,0,0,
bogalusa city,support-only (cheap tail),1,0,0,0,0,
st mary parish,support-only (cheap tail),1,1,0,0,0,
glide,support-only (cheap tail),1,1,0,0,0,
west jasper cons sch dist ms,support-only (cheap tail),1,0,0,0,0,
cushing,support-only (cheap tail),1,1,0,0,0,
stanfield elementary,support-only (cheap tail),1,0,0,0,0,
albany,support-only (cheap tail),1,1,0,0,0,
eastern allamakee,support-only (cheap tail),1,0,0,0,0,
mexic,support-only (cheap tail),1,1,0,0,0,
