key,class,issuetype,module,effort_band,story_points,cycle_days,comments,sprints,summary
NXT-73027,migration,Task,Menu Planning,S,,0,0,1,BO -  Migration task
NXT-73060,migration,Bug,System,S,,0,2,2,Dilworth District Migration - Template Issues
NXT-73107,migration,Bug,Menu Planning,S,,0,4,1,Dilworth District Migration - Not migrating images.
NXT-73108,migration,Bug,Menu Planning,S,,2,2,1,Dilworth District Migration -  Bringing incorrect weights for recipe ingredients
NXT-73109,migration,Bug,Menu Planning,S,,0,2,1,Dilworth District Migration - Incorrect recipe and serving cost. Big difference 
NXT-73111,migration,Bug,Menu Planning,S,,0,4,1,Dilworth District Migration - Migrating Recipe ingredients that are not actually
NXT-73113,migration,Bug,Menu Planning,S,,0,2,2,Dilworth District Migration - Incorrect sub-recipes or ingredients are linked.
NXT-73114,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Sub quantities are missing.
NXT-73116,migration,Task,Item Management,S,,0,0,1,Dilworth - District Migration Testing
NXT-73118,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - The menu item shows a lower contribution value.
NXT-73119,migration,Bug,Menu Planning,S,,0,1,1,"Dilworth District Migration - Serving weight in grams is not migrated correctly,"
NXT-73120,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Incorrect broken units per whole unit are brought 
NXT-73203,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Menu item serving does not show exceptions.
NXT-73204,migration,Bug,Menu Planning,S,,0,2,1,Dilworth District Migration -  Recipe steps are blank.
NXT-73206,migration,Bug,Menu Planning,S,,0,2,1,Dilworth District Migration - Not migrating the correct edible yield factor.
NXT-73207,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Duplicate CCPs.
NXT-73225,migration,Bug,Menu Planning,S,,0,1,1,"Dilworth District Migration - The item has nutrition information on the PE side,"
NXT-73226,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - The serving of an item displays the Recipe Linked 
NXT-73227,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Incorrect merging in dual unit scenario.
NXT-73228,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Dual unit scenario.
NXT-73234,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Two different items in the system share the same c
NXT-73235,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - When searching with an active Menu Item Code or th
NXT-73236,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration -  Recipe with 0 serving size weight.
NXT-73259,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Missing Recipe Ingredient that is a sub recipe. 
NXT-73260,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - CNDB items as recipe ingredients scenario.
NXT-73261,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Duplicate Servings.
NXT-73262,migration,Bug,Menu Planning,S,,0,1,1,Dilworth District Migration - Menu item added on the Menu without a serving meas
NXT-73281,migration,Story,Platform - Data Exchange,S,,0,0,0,Washburn - Post Migration Observations & Fixes
