district_id,entity_class,n_variants,variants,fd_2.0_tickets,fd_implementation,nxt_dev_items,nxt_migration_items
paris special,customer,1,Paris Special School District,1,0,0,0
grapevine faith christian,customer,1,Grapevine Faith Christian School,1,0,0,0
calhoun,customer,1,Calhoun County School District,1,0,0,0
southwest preparatory,customer,1,SOUTHWEST PREPARATORY SCHOOLS,1,0,0,0
southwest charter,customer,1,SOUTHWEST CHARTER SCHOOL,1,0,0,0
simplot,vendor,1,Simplot,1,1,0,0
centinela valley union high,customer,1,Centinela Valley Union High School District,1,1,0,0
brookeland,customer,1,Brookeland Independent School District,1,1,0,0
haralson,customer,1,Haralson County School District,1,1,0,0
celeste,customer,1,Celeste Independent School District,1,1,0,0
unparalleled preparatory,customer,1,Unparalleled Preparatory Academy,1,1,0,0
wasatch peak,customer,1,Wasatch Peak Academy,1,1,0,0
clear lake,customer,1,Clear Lake Community School District,1,1,0,0
richardson,customer,1,Richardson ISD,1,0,0,0
windham,customer,1,Windham Public Schools,1,0,0,0
sst discovery,customer,1,SST DISCOVERY,1,0,0,0
magnolia montessori for al,customer,1,MAGNOLIA MONTESSORI FOR AL,1,0,0,0
la academia de estrellas,customer,1,LA ACADEMIA DE ESTRELLAS,1,0,0,0
jarrell,customer,1,JARRELL ISD,1,0,0,0
alamo heights,customer,1,ALAMO HEIGHTS ISD,1,0,0,0
sisters of st mary of oregon ministries corp,customer,1,Sisters of St. Mary of Oregon Ministries Corp,1,0,0,0
central catholic high,customer,1,Central Catholic High School,1,0,0,0
los alamos,customer,1,LOS ALAMOS PUBLIC SCHOOLS,1,0,0,0
salem city,customer,1,Salem City School District,1,0,0,0
myron l powell,customer,1,Myron L. Powell,1,0,0,0
st joseph s,customer,1,St. Joseph's School District,1,0,0,0
jefferson,customer,1,Jefferson County School District,1,0,0,0
newman international,customer,1,NEWMAN INTERNATIONAL ACADEMY,1,0,0,0
chequamnegon,customer,1,Chequamnegon School District,1,1,0,0
el dorado,customer,1,El Dorado School District,1,1,0,0
seneca,customer,1,Seneca R-7 School District,1,0,0,0
mat su,customer,1,MAT-SU School District,1,0,0,0
indiana state of department of education,customer,1,Indiana (State of) Department Of Education,1,1,0,0
hacienda la puente,customer,1,Hacienda La Puente Unified School District,1,0,0,0
bolivar,customer,1,Bolivar R-1 Schools,1,1,0,0
joplin,customer,1,Joplin SD,1,0,0,0
ledyard charter,customer,1,Ledyard Charter School,1,0,0,0
houston,customer,1,Houston ISD,1,0,0,0
reeds spring,customer,1,Reeds Spring Schools,1,1,0,0
amherst,customer,1,Amherst County Public Schools,1,1,0,0
east hampton,customer,1,East Hampton Public Schools,1,0,0,0
mount vernon city,customer,1,Mount Vernon City Schools District 80,1,0,0,0
boling,customer,1,Boling ISD,1,0,0,0
